start	stop	name	level
2720	8554	nsp3	1
2720	8554	nsp3	2
806	2719	nsp2	1
806	2719	nsp2	2
13468	16236	RdRp	1
21563	25384	S	3
25393	26220	ORF3a       	1
26245	26472	E     	2
26523	27191	M	4
27202	27387	ORF6  	3
27394	27759	ORF7a	2
27756	27887	ORF7b	1
27894	28259	      ORF8	4
28274	29533	     N	2
29558	29674	        ORF10	1
